Student_ID,Department,City,Education
1,Cloud,Sousse,Bachelor
2,Data Science,Sfax,Bachelor
3,Cybersecurity,Tunis,Bachelor
4,Web,Bizerte,Master
5,Data Science,Nabeul,High School
6,Web,Sfax,Master
7,Web,Bizerte,High School
8,AI,Tunis,Bachelor
9,Cybersecurity,Tunis,Master
10,Cloud,Sfax,Bachelor
11,Data Science,Nabeul,Bachelor
12,AI,Sfax,Bachelor
13,Cloud,Nabeul,High School
14,Cybersecurity,Bizerte,Master
15,Cloud,Sfax,High School
16,Data Science,Sfax,High School
17,Data Science,Bizerte,High School
18,Data Science,Bizerte,Master
19,Web,Sfax,Bachelor
20,AI,Bizerte,Master
21,Cybersecurity,Sfax,High School
22,Web,Sfax,Master
23,AI,Nabeul,Bachelor
24,Cybersecurity,Sousse,Master
25,Cloud,Tunis,Bachelor
26,Cloud,Sousse,High School
27,AI,Bizerte,Bachelor
28,Data Science,Nabeul,Master
29,Web,Sousse,Bachelor
30,Cybersecurity,Sousse,Bachelor
31,Web,Nabeul,Bachelor
32,Cloud,Tunis,Bachelor
33,Cloud,Nabeul,Master
34,Cybersecurity,Bizerte,Bachelor
35,Cloud,Bizerte,High School
36,Data Science,Sousse,Master
37,Data Science,Tunis,High School
38,Cloud,Sousse,Bachelor
39,AI,Bizerte,High School
40,Data Science,Nabeul,High School
41,Cybersecurity,Bizerte,Master
42,Cybersecurity,Tunis,Bachelor
43,Data Science,Tunis,Master
44,Data Science,Sousse,Master
45,Cloud,Nabeul,High School
46,Cloud,Nabeul,Master
47,Cybersecurity,Sfax,Bachelor
48,AI,Sfax,High School
49,Data Science,Sousse,High School
50,Web,Sousse,High School
51,Cybersecurity,Sfax,Master
52,Data Science,Bizerte,High School
53,Cloud,Nabeul,Bachelor
54,Data Science,Tunis,High School
55,Cybersecurity,Sousse,High School
56,Cybersecurity,Sfax,Master
57,Data Science,Nabeul,High School
58,Cybersecurity,Nabeul,Master
59,Web,Sousse,Bachelor
60,Cloud,Sousse,High School
61,Data Science,Bizerte,Master
62,Web,Tunis,High School
63,AI,Tunis,High School
64,Cybersecurity,Tunis,Master
65,Web,Tunis,Master
66,Data Science,Sousse,Master
67,Cybersecurity,Sousse,High School
68,Cloud,Sfax,High School
69,Cybersecurity,Nabeul,Master
70,Data Science,Nabeul,High School
71,Data Science,Bizerte,Master
72,Web,Nabeul,Bachelor
73,Web,Tunis,Bachelor
74,Cloud,Bizerte,Master
75,Cloud,Bizerte,Master
76,Cloud,Sfax,Bachelor
77,Cybersecurity,Bizerte,High School
78,Data Science,Sfax,High School
79,Data Science,Sfax,Master
80,Data Science,Nabeul,Bachelor
81,Cloud,Bizerte,Bachelor
82,Web,Tunis,Master
83,AI,Sousse,Bachelor
84,Cloud,Sousse,Bachelor
85,Data Science,Bizerte,High School
86,Data Science,Tunis,High School
87,Data Science,Bizerte,Bachelor
88,Cybersecurity,Sfax,High School
89,Cybersecurity,Tunis,High School
90,Web,Nabeul,Bachelor
