review,positive_or_negative
great experience grilled chicken because better than expected waiter checked right time great value price price felt reasonable quality,positive
not impressed lemonade staff rude inattentive ingredients did not taste fresh uncomfortable crowded several things went wrong during visit not come back,negative
great experience cheesecake texture excellent team handled everything smoothly atmosphere relaxed pleasant will order again,positive
tables clean music nice impressed chocolate cake flavors balanced satisfying team handled everything smoothly solid choice dinner,positive
such good experience burger everyone welcoming helpful flavors balanced satisfying place felt welcoming well maintained meal satisfying from start finish left satisfied,positive
atmosphere relaxed pleasant impressed sandwiches ingredients tasted high quality waiter checked right time come back,positive
impressed pizza waiter checked right time arrived hot looked great place felt welcoming well maintained price felt reasonable quality left satisfied,positive
poor experience burger bland poorly cooked service felt disorganized place looked poorly maintained definitely not worth price,negative
great experience coffee staff friendly attentive arrived hot looked great comfortable place dinner flavors memorable come back,positive
happily recommend breakfast because presentation beautiful taste matched greeted warmly served quickly great value price price felt reasonable quality,positive
dining room clean comfortable one best things here cheesecake flavors balanced satisfying service quick professional solid choice dinner,positive
not impressed breakfast because greasy not enjoyable waited far too long before anyone helped will not order again quality inconsistent,negative
bad experience pasta staff rude inattentive arrived cold looked unappetizing uncomfortable crowded price did not match quality choose another restaurant next time btw,negative
loved seafood platter waiter checked right time everything tasted fresh well seasoned comfortable place dinner meal satisfying from start finish left satisfied,positive
great experience grilled chicken flavorful cooked perfectly team handled everything smoothly comfortable place dinner solid choice dinner,positive
frustrated vegetable couscous because ingredients did not taste fresh service extremely slow poor value money several things went wrong during visit,negative
poor experience steak waited far too long before anyone helped greasy not enjoyable table dirty when arrived expected much better money definitely not worth price btw,negative
great experience pizza service quick professional portion generous fresh comfortable place dinner price felt reasonable quality will order again,positive
really enjoyed pizza because texture excellent staff friendly attentive great value price,positive
happily recommend steak because flavorful cooked perfectly staff friendly attentive solid choice dinner everything came out nicely timed,positive
bad experience breakfast because greasy not enjoyable service extremely slow poor value money quality inconsistent,negative
pleasantly surprised cheesecake everyone welcoming helpful fresh tasty filling tables clean music nice price felt reasonable quality definitely worth visit,positive
loved burger fresh tasty filling team handled everything smoothly atmosphere relaxed pleasant definitely worth visit,positive
place felt welcoming well maintained really enjoyed coffee flavors balanced satisfying staff friendly attentive solid choice dinner,positive
absolutely loved chocolate cake because ingredients tasted high quality greeted warmly served quickly come back,positive
happily recommend fries because texture excellent service quick professional will order again,positive
bad experience seafood platter staff rude inattentive texture unpleasant atmosphere noisy unpleasant expected much better money not come back honestly,negative
comfortable place dinner happy seafood platter flavorful cooked perfectly team handled everything smoothly will order again,positive
such good experience grilled chicken presentation beautiful taste matched dining room clean comfortable greeted warmly served quickly will order again,positive
poor experience lemonade because greasy not enjoyable service felt disorganized not come back price did not match quality idk,negative
unfortunately disliked lentil soup much worse than expected table dirty when arrived ask several times basic things poor value money,negative
poor experience grilled chicken because ingredients did not taste fresh nobody seemed interested helping not come back meal disappointing from start finish,negative
disappointed grilled chicken because much worse than expected staff rude inattentive not come back price did not match quality btw,negative
frustrated pizza service felt disorganized ingredients did not taste fresh uncomfortable crowded expected much better money will not order again,negative
table dirty when arrived regret ordering grilled chicken overcooked lacked flavor nobody seemed interested helping choose another restaurant next time,negative
great experience sandwiches because better than expected staff friendly attentive solid choice dinner everything came out nicely timed,positive
loved lemonade flavors balanced satisfying waiter checked right time comfortable place dinner solid choice dinner,positive
really unhappy vegetable couscous service felt disorganized ingredients did not taste fresh atmosphere noisy unpleasant not come back,negative
pleasantly surprised breakfast waiter checked right time better than expected tables clean music nice quality consistent throughout meal definitely worth visit,positive
frustrated fries portion small disappointing uncomfortable crowded ask several times basic things choose another restaurant next time idk,negative
absolutely loved lentil soup waiter checked right time texture excellent atmosphere relaxed pleasant flavors memorable definitely worth visit,positive
poor experience lentil soup portion small disappointing staff rude inattentive atmosphere noisy unpleasant not come back,negative
impressed pizza flavors balanced satisfying tables clean music nice service quick professional definitely worth visit,positive
disappointed sandwiches staff rude inattentive ingredients did not taste fresh dining room dirty uncomfortable expected much better money will not order again btw,negative
impressed chocolate cake fresh tasty filling tables clean music nice service quick professional solid choice dinner,positive
poor experience seafood platter bland poorly cooked uncomfortable crowded waited far too long before anyone helped not come back idk,negative
one best things here fries everything tasted fresh well seasoned everyone welcoming helpful atmosphere relaxed pleasant left satisfied,positive
pleasantly surprised fresh salad team h led everything smoothly presentation beautiful taste matched atmosphere relaxed pleasant flavors memorable come back,positive
not impressed lentil soup nobody seemed interested helping presentation careless food tasted worse table dirty when arrived expected much better money poor value money honestly,negative
absolutely loved lentil soup team handled everything smoothly fresh tasty filling dining room clean comfortable quality consistent throughout meal will order again href,positive
loved sandwiches because portion generous fresh service quick professional come back meal satisfying from start finish,positive
such good experience pasta because texture excellent everyone welcoming helpful definitely worth visit quality consistent throughout meal,positive
not impressed grilled chicken arrived cold looked unappetizing uncomfortable crowded service felt disorganized left disappointed btw,negative
atmosphere relaxed pleasant loved fries flavors balanced satisfying staff friendly attentive left satisfied,positive
poor experience lemonade flavors unbalanced disappointing service felt disorganized uncomfortable crowded choose another restaurant next time,negative
poor experience lentil soup greasy not enjoyable uncomfortable crowded service felt disorganized will not order again btw,negative
frustrated sandwiches nobody seemed interested helping ingredients did not taste fresh uncomfortable crowded price did not match quality definitely not worth price,negative
disappointed breakfast flavors unbalanced disappointing waited far too long before anyone helped table dirty when arrived will not order again,negative
place felt welcoming well maintained really enjoyed burger better than expected staff friendly attentive left satisfied,positive
place looked poorly maintained not recommend vegetable couscous ingredients did not taste fresh ask several times basic things not come back,negative
happy vegetable couscous because texture excellent waiter checked right time great value price,positive
disappointed breakfast because bland poorly cooked ask several times basic things choose another restaurant next time expected much better money,negative
disappointed steak texture unpleasant atmosphere noisy unpleasant ask several times basic things left disappointed,negative
uncomfortable crowded disappointed sandwiches flavors unbalanced disappointing staff rude inattentive definitely not worth price,negative
really enjoyed coffee ingredients tasted high quality atmosphere relaxed pleasant service quick professional will order again,positive
not impressed seafood platter because arrived cold looked unappetizing service felt disorganized will not order again,negative
such good experience steak everyone welcoming helpful portion generous fresh tables clean music nice quality consistent throughout meal left satisfied,positive
impressed grilled chicken texture excellent comfortable place dinner waiter checked right time left satisfied,positive
happily recommend grilled chicken better than expected waiter checked right time place felt welcoming well maintained come back,positive
place felt welcoming well maintained loved chocolate cake ingredients tasted high quality team handled everything smoothly great value price,positive
absolutely loved lentil soup everything tasted fresh well seasoned comfortable place dinner team handled everything smoothly great value price,positive
impressed steak team handled everything smoothly texture excellent comfortable place dinner everything came out nicely timed definitely worth visit href,positive
happily recommend lemonade everyone welcoming helpful texture excellent atmosphere relaxed pleasant come back,positive
uncomfortable crowded not recommend pasta flavors unbalanced disappointing service felt disorganized left disappointed btw,negative
place felt welcoming well maintained impressed fresh salad texture excellent waiter checked right time left satisfied,positive
unfortunately disliked cheesecake because portion small disappointing service felt disorganized will not order again,negative
pleasantly surprised steak better than expected waiter checked right time atmosphere relaxed pleasant great value price,positive
absolutely loved lentil soup team handled everything smoothly texture excellent dining room clean comfortable price felt reasonable quality will order again,positive
really enjoyed fresh salad fresh tasty filling everyone welcoming helpful tables clean music nice come back,positive
not recommend chocolate cake portion small disappointing ask several times basic things table dirty when arrived poor value money btw,negative
comfortable place dinner pleasantly surprised cheesecake arrived hot looked great staff friendly attentive solid choice dinner,positive
unfortunately disliked sandwiches overcooked lacked flavor place looked poorly maintained service felt disorganized choose another restaurant next time btw visit,negative
great experience pasta portion generous fresh place felt welcoming well maintained service quick professional will order again,positive
unfortunately disliked lemonade ask several times basic things bland poorly cooked dining room dirty uncomfortable quality inconsistent poor value money,negative
disappointed coffee because texture unpleasant service felt disorganized poor value money price did not match quality,negative
bad experience burger portion small disappointing atmosphere noisy unpleasant service extremely slow definitely not worth price btw,negative
really unhappy pasta service felt disorganized portion small disappointing table dirty when arrived meal disappointing from start finish will not order again,negative
one best things here breakfast team handled everything smoothly arrived hot looked great comfortable place dinner price felt reasonable quality left satisfied,positive
table dirty when arrived poor experience pizza ingredients did not taste fresh nobody seemed interested helping poor value money btw,negative
really unhappy seafood platter portion small disappointing uncomfortable crowded service felt disorganized will not order again btw,negative
impressed pasta flavors balanced satisfying team h led everything smoothly dining room clean comfortable great value price,positive
one best things here pizza waiter checked right time everything tasted fresh well seasoned atmosphere relaxed pleasant price felt reasonable quality solid choice dinner,positive
bad experience grilled chicken because flavors unbalanced disappointing waited far too long before anyone helped choose another restaurant next time quality inconsistent,negative
great experience vegetable couscous because flavors balanced satisfying service quick professional will order again quality consistent throughout meal,positive
disappointed seafood platter much worse than expected service extremely slow atmosphere noisy unpleasant left disappointed,negative
